------------------------------------------------------------------------------------------------------------
| Change # |     Database          | Action | Filename                                        | Date       |
|    106   | venue_framework       | update | tbl_venue_story                                 | 10/30/2017 |
|    107   | venue_framework       | update | tbl_videos_master                               | 10/30/2017 |
|    108   | venue_framework       | update | tbl_videos_master_bills                         | 10/30/2017 |
|    109   | venue_framework       | update | tbl_videos_media_content                        | 10/30/2017 |
|    110   | venue_framework       | update | tbl_videos_media_content_bills                  | 10/30/2017 |
|    111   | venue_framework       | update | tbl_videos_media_thumbnail                      | 10/30/2017 |
|    112   | venue_framework       | update | tbl_videos_media_thumbnail_bills                | 10/30/2017 |
|    113   | venue_framework       | update | tbl_weather_code_image_map                      | 10/30/2017 |
|    114   | venue_framework       | update | temp_standings_scripts                          | 10/30/2017 |
|    115   | venue_framework       | update | temp_tbl_photo_gallaries_master                 | 10/30/2017 |
|    116   | venue_framework       | update | temp_tbl_photo_gallaries_media_content          | 10/30/2017 |
|    117   | venue_framework       | update | temp_tbl_photo_gallaries_media_thumbnail        | 10/30/2017 |
|    118   | venue_framework       | update | temp_tbl_team_standings                         | 10/30/2017 |
|    119   | venue_framework       | update | user_roles                                      | 10/30/2017 |
|----------|-----------------------|--------|-------------------------------------------------|------------|
	  
	 
